id,api_uri,name,party,state,district,total_votes,votes_with_party,party_votes_pct,rank,notes
N000184,https://api.propublica.org/congress/v1/members/N000184.json,Kristi Noem,R,SD,1,1325,1225,94.81,217,
B000911,https://api.propublica.org/congress/v1/members/B000911.json,Corrine Brown,D,FL,5,1325,1079,94.82,218,"Lost primary election on Aug. 30, 2016."
M001179,https://api.propublica.org/congress/v1/members/M001179.json,Tom Marino,R,PA,10,1325,1172,94.82,219,
J000290,https://api.propublica.org/congress/v1/members/J000290.json,Lynn Jenkins,R,KS,2,1325,1231,94.84,220,
H001067,https://api.propublica.org/congress/v1/members/H001067.json,Richard Hudson,R,NC,8,1325,1165,94.87,221,
M001189,https://api.propublica.org/congress/v1/members/M001189.json,Luke Messer,R,IN,6,1325,1242,94.88,222,
L000582,https://api.propublica.org/congress/v1/members/L000582.json,Ted Lieu,D,CA,33,1325,1133,94.89,223,
T000193,https://api.propublica.org/congress/v1/members/T000193.json,Bennie Thompson,D,MS,2,1325,1208,94.89,224,
B001291,https://api.propublica.org/congress/v1/members/B001291.json,Brian Babin,R,TX,36,1325,1232,94.92,225,
L000397,https://api.propublica.org/congress/v1/members/L000397.json,Zoe Lofgren,D,CA,19,1325,1177,94.92,226,
W000800,https://api.propublica.org/congress/v1/members/W000800.json,Peter Welch,D,VT,1,1324,1218,94.93,227,
S000344,https://api.propublica.org/congress/v1/members/S000344.json,Brad Sherman,D,CA,30,1325,1244,94.96,228,
T000475,https://api.propublica.org/congress/v1/members/T000475.json,Dave Trott,R,MI,11,1325,1247,94.97,229,
F000454,https://api.propublica.org/congress/v1/members/F000454.json,Bill Foster,D,IL,11,1325,1253,95,230,
